id,process_id,heading_nl,heading_en,description_nl,description_en,image_url,icon_url,step_order,created_at,updated_at
09d1d3e1-8f86-4dd6-8b74-3f51e15a0c9b,95444f7b-9e6d-4ea9-87a0-a5318a580a28,Kies uw specialist,Choose your specialist,Selecteer de specialist die het beste past bij uw project.,Select the professional that best fits your project.,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768181303423-step3.webp,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768181274485-step3-icon.svg,2,2026-01-12 01:29:01.517734+00,2026-01-12 01:29:01.517734+00
373083e7-bf66-4578-b9f6-7cb8ede704a6,95444f7b-9e6d-4ea9-87a0-a5318a580a28,Start uw project,Start your project,"De uitvoering kan beginnen: betrouwbaar, efficiënt en volgens planning.","Execution begins: reliable, efficient, and on schedule.",https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768181290349-step1.webp,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768181279457-step4-icon.svg,3,2026-01-12 01:29:01.517734+00,2026-01-12 01:29:01.517734+00
7dd3d12d-c207-426a-93f9-5e65dc8440ea,95444f7b-9e6d-4ea9-87a0-a5318a580a28,Beschrijf uw project,Describe your project,Beschrijf uw project,Tell us what you’re looking for and your requirements.,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768181320346-step4.webp,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768181257363-step1-icon1.svg,0,2026-01-12 01:29:01.517734+00,2026-01-12 01:29:01.517734+00
8e233e07-4322-46df-8f00-a604b10917d7,95444f7b-9e6d-4ea9-87a0-a5318a580a28,Vergelijk specialisten,Compare specialists,Bekijk de beschikbare specialisten en vergelijk hun offertes.,View available specialists and compare their quotes.,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768181313537-step2.webp,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768181266425-step2-icon.svg,1,2026-01-12 01:29:01.517734+00,2026-01-12 01:29:01.517734+00
