id,values_id,position,heading_nl,heading_en,description_nl,description_en,icon_url,icon_alt_text,created_at,updated_at
5fac91f0-651c-4455-ae44-df29a5316231,f152182d-0568-4975-a1b7-4fe2d98a7dbb,top_left,Betrouwbaarheid,Reliability,Heldere contracten zonder verborgen koste,Clear agreements with no hidden costs,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768461369702-Betrouwbaarheid.svg,Betrouwbaarheid-icon,2026-01-15 07:19:09.14268+00,2026-01-15 07:19:09.14268+00
695becca-0355-4169-8083-814bdf046305,f152182d-0568-4975-a1b7-4fe2d98a7dbb,bottom_left,Transparantie,Transparancy,"Geen loze beloftes, jij staat centraal",No empty promises; you come first,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768461428760-Transparantie.svg,Transparantie-icon,2026-01-15 07:19:09.14268+00,2026-01-15 07:19:09.14268+00
b0f63d58-4507-486d-8088-a58e0b642f5d,f152182d-0568-4975-a1b7-4fe2d98a7dbb,bottom_right,Doelgericht,Efficiency,"Jij vertelt wat je zoekt, wij regelen de rest","Tell us what you need, we handle the rest",https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768461410885-Doelgericht.svg,Doelgericht-icon,2026-01-15 07:19:09.14268+00,2026-01-15 07:19:09.14268+00
f956d12a-4dcf-4b56-9aef-801a65614de7,f152182d-0568-4975-a1b7-4fe2d98a7dbb,top_right,Eerlijkheid,Integrity,Geen lead? Dan betaal je niets,No leads? You don’t pay,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768461421290-Eerlijkheid.svg,Eerlijkheid-icon,2026-01-15 07:19:09.14268+00,2026-01-15 07:19:09.14268+00
