id,service_category_id,status,created_by,updated_by,published_by,published_at,created_at,updated_at,sections_config
45f2bf83-31f4-4b93-9c88-15e676a7502d,15,pending,,,,,2026-01-16 20:44:48.358462+00,2026-01-16 20:46:56.072+00,"{""order"":[""banner"",""intro"",""process""],""active"":[""banner"",""intro"",""process""]}"
c230dc52-cf98-45f6-832e-065c7aeb7a54,5,active,,,,2026-01-12 00:30:34.133+00,2026-01-11 19:48:22.547675+00,2026-01-12 00:30:34.133+00,"{""order"":[""banner"",""intro"",""types"",""process"",""comparison_table"",""tips"",""overview_table"",""seo_content"",""values"",""reviews"",""faq"",""marquees"",""cta""],""active"":[""banner"",""intro"",""faq"",""process"",""comparison_table"",""tips"",""overview_table"",""seo_content"",""values"",""cta"",""reviews"",""types"",""marquees""]}"
