id,marquee_id,text_nl,text_en,display_order,created_at,updated_at
0b527f03-00fa-455c-8c95-87931ca24265,f91dadbf-b598-4d2e-9fce-befd039d9fa9,Geschikt voor woningen en bedrijfspanden,Suitable for residential and commercial projects,4,2026-01-15 14:05:24.033937,2026-01-15 14:05:24.033937
5830ef8e-89d4-4609-a91c-fab3eaabc867,f91dadbf-b598-4d2e-9fce-befd039d9fa9,Gecertificeerde en gecontroleerde architecten,Certified and verified architects,2,2026-01-15 14:05:24.033937,2026-01-15 14:05:24.033937
5a9cee98-bd8a-4002-a96d-ec91a9da1c9d,f91dadbf-b598-4d2e-9fce-befd039d9fa9,Duidelijke prijzen zonder verrassingen,Transparent pricing with no surprises,3,2026-01-15 14:05:24.033937,2026-01-15 14:05:24.033937
6afff5f4-5ac6-4ec2-a9c0-b4e34c2f8c50,f91dadbf-b598-4d2e-9fce-befd039d9fa9,Binnen 1 minuut uw project starten,Start your project within 1 minute,1,2026-01-15 14:05:24.033937,2026-01-15 14:05:24.033937
d9a07c07-24ee-4856-849c-0f47c3eb34aa,f91dadbf-b598-4d2e-9fce-befd039d9fa9,Meerdere offertes vergelijken,Compare multiple quotes,0,2026-01-15 14:05:24.033937,2026-01-15 14:05:24.033937
