id,service_page_id,eyebrow_text_nl,eyebrow_text_en,h1_text_nl,h1_text_en,description_nl,description_en,background_image_url,created_at,updated_at,background_image_alt
7f172811-0512-48cf-9abd-3eca91297105,45f2bf83-31f4-4b93-9c88-15e676a7502d,,,jhfjhfhg,vghjvghj,,,https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768596389970-banner.png,2026-01-16 20:46:43.614859+00,2026-01-16 20:46:43.614859+00,uyufjc
c1f9c6c5-199b-4d53-8f16-31f692c97181,c230dc52-cf98-45f6-832e-065c7aeb7a54,,,Architect,Architect,"Een architect helpt bij het ontwerpen, uitwerken en begeleiden van bouw- en verbouwprojecten. Op deze pagina ontdek je alles over de soorten architecten, werkzaamheden, kosten, vergunningen en hoe je eenvoudig de juiste architect vindt via Bouwmatcher.","An architect helps design, develop, and guide construction and renovation projects. On this page, you’ll learn about architect types, services, costs, permits, and how to easily find the right architect through Bouwmatcher.",https://gjlyhshagnuibywjxamo.supabase.co/storage/v1/object/public/service-pages/1768162215850-service-bg.png,2026-01-11 20:17:23.88177+00,2026-01-11 20:17:23.88177+00,Architect Banner
