id,professional_id,project_id,amount_paid,payment_status,payment_method,transaction_id,purchased_at,created_at,updated_at
94380ab9-144f-494b-a0cc-b126af493f61,0e235c1f-4693-4001-9d75-137a131741d3,5598c3fb-ff04-4a6e-b77c-16389f43ca02,15,completed,card,pi_3SmewMRtG6TgMBxF1xBBKRkX,2026-01-06 18:25:14.132714+00,2026-01-06 18:25:14.132714+00,2026-01-06 18:25:14.132714+00
ee9855c0-1b76-4f2f-9add-3f8171ba910b,0e235c1f-4693-4001-9d75-137a131741d3,86c0f5e6-8e97-4049-8f02-b3ecd420e50b,15,completed,card,pi_3SlwbtRtG6TgMBxF1HCkn3NZ,2026-01-04 19:05:07.807374+00,2026-01-04 19:05:07.807374+00,2026-01-04 19:05:07.807374+00
